click_id,adjuster_id,timestamp,module,screen,action,duration_ms,idle_before_ms,error_code
SCK-00253,ADJ-009,2025-12-27T18:44:00Z,Subrogation Tracker,Search,upload,13689,2454,
SCK-00254,ADJ-005,2025-12-06T11:23:00Z,Reporting,Documents Tab,upload,2871,1778,
SCK-00255,ADJ-005,2025-12-04T10:53:00Z,Estimate Tool,Activity Log,search,7037,7644,
SCK-00256,ADJ-004,2025-10-17T07:30:00Z,Subrogation Tracker,Approval Queue,upload,2477,7340,VALIDATION
SCK-00257,ADJ-025,2025-11-13T09:45:00Z,Settlement Wizard,Dashboard,search,3843,2208,
SCK-00258,ADJ-023,2025-10-30T11:08:00Z,Estimate Tool,Detail View,search,7160,1930,
SCK-00259,ADJ-001,2025-12-01T13:02:00Z,Estimate Tool,Search,view,13193,8512,
SCK-00260,ADJ-016,2025-10-16T11:02:00Z,Claim File,Approval Queue,view,12562,1681,
SCK-00261,ADJ-030,2025-12-17T10:37:00Z,Estimate Tool,Detail View,upload,679,1587,
SCK-00262,ADJ-028,2025-11-05T16:22:00Z,Subrogation Tracker,Detail View,approve,8472,9442,
SCK-00263,ADJ-004,2025-12-14T07:33:00Z,Estimate Tool,Form Entry,edit,3014,8900,
SCK-00264,ADJ-024,2025-10-13T10:58:00Z,Document Manager,Payments Tab,upload,11638,9756,
SCK-00265,ADJ-015,2025-12-26T08:11:00Z,Subrogation Tracker,Documents Tab,export,3710,8525,
SCK-00266,ADJ-014,2025-10-15T12:07:00Z,Reporting,Search,submit,8323,6018,
SCK-00267,ADJ-018,2025-10-06T08:20:00Z,Reporting,Search,export,4846,7586,
SCK-00268,ADJ-022,2025-11-26T10:35:00Z,SIU Dashboard,Approval Queue,export,3293,1240,SYNC_ERROR
SCK-00269,ADJ-022,2025-11-17T09:00:00Z,Reporting,Search,export,7377,8663,
SCK-00270,ADJ-004,2025-10-19T13:25:00Z,Party Management,Search,submit,1260,6059,
SCK-00271,ADJ-011,2025-10-26T16:54:00Z,SIU Dashboard,Search,approve,13931,7058,SYNC_ERROR
SCK-00272,ADJ-009,2025-12-31T16:37:00Z,Settlement Wizard,Documents Tab,upload,7995,9982,AUTH_FAIL
SCK-00273,ADJ-016,2025-12-05T11:09:00Z,Reporting,Search,search,4307,8117,SYNC_ERROR
SCK-00274,ADJ-008,2025-12-20T09:01:00Z,Claim File,Dashboard,search,8361,538,
SCK-00275,ADJ-013,2025-12-17T17:20:00Z,Reserve Calculator,Approval Queue,search,12654,1353,VALIDATION
SCK-00276,ADJ-025,2025-12-03T14:12:00Z,Settlement Wizard,Payments Tab,print,8470,4387,VALIDATION
SCK-00277,ADJ-011,2025-12-09T15:01:00Z,FNOL Entry,Documents Tab,search,6485,7474,TIMEOUT
SCK-00278,ADJ-028,2025-11-18T14:29:00Z,FNOL Entry,Dashboard,submit,9320,5065,
SCK-00279,ADJ-016,2025-11-25T09:19:00Z,SIU Dashboard,Payments Tab,search,9520,8137,VALIDATION
SCK-00280,ADJ-022,2025-12-09T16:30:00Z,Reporting,Activity Log,submit,8501,1013,AUTH_FAIL
SCK-00281,ADJ-009,2025-12-03T16:24:00Z,Party Management,Notes Tab,edit,5450,1106,
SCK-00282,ADJ-019,2025-10-06T09:53:00Z,Subrogation Tracker,Notes Tab,view,12736,5691,AUTH_FAIL
SCK-00283,ADJ-004,2025-11-24T12:22:00Z,SIU Dashboard,Notes Tab,view,11033,4101,
SCK-00284,ADJ-008,2025-12-22T11:37:00Z,Claim File,Search,edit,2075,5631,
SCK-00285,ADJ-001,2025-12-08T12:02:00Z,Reporting,Documents Tab,export,4568,434,SYNC_ERROR
SCK-00286,ADJ-019,2025-10-03T12:24:00Z,Party Management,Documents Tab,upload,9580,1701,SYNC_ERROR
SCK-00287,ADJ-004,2025-12-28T17:13:00Z,Subrogation Tracker,Payments Tab,upload,2930,5007,TIMEOUT
SCK-00288,ADJ-014,2025-10-26T14:40:00Z,Claim File,Activity Log,approve,4908,4444,
SCK-00289,ADJ-010,2025-12-13T13:51:00Z,Estimate Tool,Search,search,9897,5618,
SCK-00290,ADJ-003,2025-12-12T15:30:00Z,SIU Dashboard,Form Entry,upload,13235,1356,
SCK-00291,ADJ-017,2025-11-08T13:42:00Z,Document Manager,Notes Tab,approve,6988,6691,
SCK-00292,ADJ-020,2025-12-05T14:42:00Z,Document Manager,Detail View,view,10486,8557,
SCK-00293,ADJ-019,2025-12-03T10:42:00Z,Reporting,Approval Queue,export,9475,1081,VALIDATION
SCK-00294,ADJ-007,2025-11-16T14:09:00Z,Estimate Tool,Detail View,edit,14030,7233,AUTH_FAIL
SCK-00295,ADJ-011,2025-10-09T17:13:00Z,SIU Dashboard,Approval Queue,edit,10784,2731,
SCK-00296,ADJ-022,2025-12-16T10:25:00Z,Estimate Tool,Search,submit,3344,553,
SCK-00297,ADJ-026,2025-11-09T14:31:00Z,Document Manager,Documents Tab,export,10799,706,
SCK-00298,ADJ-006,2025-11-04T09:01:00Z,Settlement Wizard,Approval Queue,submit,10756,791,SYNC_ERROR
SCK-00299,ADJ-026,2025-10-03T07:55:00Z,Claim File,Notes Tab,edit,14407,1141,AUTH_FAIL
SCK-00300,ADJ-029,2025-11-16T17:42:00Z,Claim File,Documents Tab,submit,4067,1933,VALIDATION
