interaction_id,ae_id,timestamp,system,module,action,duration_ms,campaign_id
INT-0303,AE-020,2026-03-26T12:40:00Z,OMS,orders,export,35171,CMP-010
INT-0304,AE-020,2026-03-27T13:57:00Z,Workforce,crew_schedule,update,63129,CMP-034
INT-0305,AE-012,2026-02-24T08:21:00Z,Boostr,pipeline,update,44262,CMP-026
INT-0306,AE-006,2026-02-24T16:03:00Z,Workforce,work_orders,reject,85786,CMP-034
INT-0307,AE-010,2026-03-26T07:52:00Z,Workforce,installation,export,81342,CMP-034
INT-0308,AE-023,2026-03-25T18:22:00Z,OMS,billing,upload,88033,CMP-026
INT-0309,AE-007,2026-03-28T13:46:00Z,IMS,units,view,19515,CMP-034
INT-0310,AE-021,2026-03-28T15:21:00Z,IMS,availability,create,86320,CMP-011
INT-0311,AE-001,2026-03-25T18:27:00Z,Boostr,commissions,export,140454,CMP-008
INT-0312,AE-002,2026-02-24T19:41:00Z,IMS,holds,approve,19351,CMP-029
INT-0313,AE-010,2026-02-26T19:47:00Z,Salesforce,leads,upload,160461,CMP-037
INT-0314,AE-021,2026-03-26T17:50:00Z,Salesforce,accounts,approve,78073,CMP-009
INT-0315,AE-016,2026-02-26T19:23:00Z,Salesforce,accounts,create,64547,CMP-007
INT-0316,AE-005,2026-02-24T13:56:00Z,Workforce,installation,create,20047,CMP-031
INT-0317,AE-007,2026-03-28T16:35:00Z,Workforce,work_orders,approve,71019,CMP-026
INT-0318,AE-009,2026-03-27T18:26:00Z,Salesforce,activities,reject,24344,CMP-010
INT-0319,AE-020,2026-02-25T18:13:00Z,OMS,billing,upload,62694,CMP-031
INT-0320,AE-002,2026-03-24T08:07:00Z,OMS,charting,approve,51442,CMP-037
INT-0321,AE-010,2026-03-24T11:23:00Z,Boostr,commissions,update,87497,CMP-019
INT-0322,AE-019,2026-03-28T07:59:00Z,Boostr,contracts,update,44998,CMP-019
INT-0323,AE-007,2026-03-24T08:55:00Z,OMS,billing,view,8856,CMP-027
INT-0324,AE-019,2026-03-26T14:53:00Z,Salesforce,opportunities,upload,99376,CMP-039
INT-0325,AE-005,2026-03-27T09:55:00Z,OMS,charting,upload,45626,CMP-006
INT-0326,AE-023,2026-03-25T12:34:00Z,Salesforce,activities,reject,9005,CMP-029
INT-0327,AE-009,2026-03-28T15:41:00Z,Boostr,contracts,view,19224,CMP-036
INT-0328,AE-003,2026-02-28T19:30:00Z,OMS,charting,view,68881,CMP-002
INT-0329,AE-004,2026-02-26T10:53:00Z,Salesforce,accounts,view,78963,CMP-029
INT-0330,AE-003,2026-02-27T14:55:00Z,Salesforce,reports,approve,6049,CMP-022
INT-0331,AE-017,2026-03-28T13:16:00Z,OMS,billing,view,16930,CMP-008
INT-0332,AE-004,2026-02-25T11:49:00Z,Salesforce,accounts,export,14747,CMP-010
INT-0333,AE-010,2026-03-28T09:01:00Z,Workforce,crew_schedule,view,23335,CMP-020
INT-0334,AE-016,2026-03-27T11:24:00Z,Boostr,reporting,update,113493,CMP-008
INT-0335,AE-002,2026-03-27T08:17:00Z,OMS,scheduling,search,10947,CMP-021
INT-0336,AE-018,2026-02-27T13:40:00Z,Salesforce,activities,create,35636,CMP-002
INT-0337,AE-009,2026-02-25T11:36:00Z,Salesforce,reports,create,56313,CMP-029
INT-0338,AE-003,2026-02-26T19:15:00Z,Salesforce,accounts,update,73455,CMP-028
INT-0339,AE-021,2026-03-27T17:10:00Z,Workforce,work_orders,view,3071,CMP-004
INT-0340,AE-019,2026-03-27T17:13:00Z,IMS,offboarding,export,81697,CMP-033
INT-0341,AE-010,2026-02-26T13:44:00Z,Boostr,contracts,create,40237,CMP-009
INT-0342,AE-021,2026-03-28T17:21:00Z,IMS,onboarding,search,86252,CMP-017
INT-0343,AE-018,2026-02-26T14:38:00Z,IMS,availability,approve,48051,CMP-002
INT-0344,AE-005,2026-02-24T17:11:00Z,Boostr,commissions,upload,57154,CMP-036
INT-0345,AE-019,2026-02-24T17:28:00Z,Workforce,photos,create,93112,CMP-008
INT-0346,AE-012,2026-02-27T19:51:00Z,Workforce,photos,approve,4105,CMP-008
INT-0347,AE-018,2026-02-24T18:01:00Z,IMS,availability,upload,104407,CMP-018
INT-0348,AE-012,2026-02-25T14:23:00Z,OMS,orders,export,7822,CMP-018
INT-0349,AE-019,2026-03-25T08:55:00Z,Salesforce,accounts,view,41352,CMP-037
INT-0350,AE-020,2026-02-28T08:37:00Z,Workforce,crew_schedule,search,19809,CMP-005
INT-0351,AE-005,2026-03-28T10:54:00Z,IMS,offboarding,search,6030,CMP-035
INT-0352,AE-023,2026-03-24T17:43:00Z,IMS,offboarding,upload,88200,CMP-004
INT-0353,AE-011,2026-03-24T14:23:00Z,Workforce,installation,export,70797,CMP-003
INT-0354,AE-008,2026-03-28T12:00:00Z,Boostr,reporting,reject,54361,CMP-013
INT-0355,AE-011,2026-03-25T08:58:00Z,Boostr,commissions,view,35765,CMP-013
INT-0356,AE-006,2026-02-24T14:27:00Z,IMS,holds,create,6148,CMP-038
INT-0357,AE-011,2026-02-27T12:53:00Z,IMS,availability,create,10134,CMP-022
INT-0358,AE-020,2026-03-24T16:07:00Z,OMS,orders,upload,14211,CMP-004
INT-0359,AE-002,2026-02-25T19:28:00Z,Workforce,posting,create,10181,CMP-020
INT-0360,AE-023,2026-02-24T11:54:00Z,Workforce,work_orders,create,52998,CMP-026
INT-0361,AE-004,2026-02-28T14:24:00Z,Salesforce,activities,search,63844,CMP-028
INT-0362,AE-023,2026-03-24T15:21:00Z,Salesforce,leads,approve,80045,CMP-013
INT-0363,AE-004,2026-02-28T16:08:00Z,Boostr,proposals,create,86540,CMP-033
INT-0364,AE-009,2026-03-28T09:15:00Z,IMS,onboarding,upload,21045,CMP-003
INT-0365,AE-002,2026-03-28T11:37:00Z,OMS,inventory,reject,73928,CMP-010
INT-0366,AE-005,2026-03-26T07:33:00Z,Workforce,posting,approve,79865,CMP-010
INT-0367,AE-002,2026-03-27T10:12:00Z,OMS,charting,view,86958,CMP-013
INT-0368,AE-003,2026-03-27T16:36:00Z,IMS,availability,upload,46995,CMP-040
INT-0369,AE-010,2026-03-24T19:58:00Z,Workforce,posting,update,19060,CMP-032
INT-0370,AE-008,2026-02-27T10:30:00Z,Boostr,contracts,search,46452,CMP-025
INT-0371,AE-007,2026-02-26T08:22:00Z,Workforce,crew_schedule,view,6934,CMP-036
INT-0372,AE-004,2026-03-25T07:01:00Z,OMS,inventory,upload,29099,CMP-013
INT-0373,AE-010,2026-03-25T15:15:00Z,OMS,scheduling,export,54803,CMP-013
INT-0374,AE-001,2026-02-24T13:41:00Z,OMS,inventory,create,37089,CMP-022
INT-0375,AE-007,2026-03-26T17:10:00Z,IMS,onboarding,search,72065,CMP-040
INT-0376,AE-017,2026-02-25T10:34:00Z,Boostr,proposals,update,54570,CMP-024
INT-0377,AE-011,2026-02-24T15:18:00Z,Salesforce,activities,search,22472,CMP-021
INT-0378,AE-008,2026-03-28T10:46:00Z,Boostr,reporting,update,13670,CMP-031
INT-0379,AE-023,2026-03-28T14:33:00Z,Boostr,contracts,reject,63852,CMP-012
INT-0380,AE-011,2026-03-27T11:37:00Z,IMS,offboarding,upload,55552,CMP-038
INT-0381,AE-002,2026-02-27T13:13:00Z,OMS,scheduling,search,43107,CMP-028
INT-0382,AE-016,2026-02-26T09:48:00Z,Salesforce,accounts,approve,16013,CMP-019
INT-0383,AE-018,2026-02-28T14:32:00Z,Salesforce,opportunities,search,86412,CMP-022
INT-0384,AE-017,2026-03-27T19:31:00Z,Workforce,installation,reject,46552,CMP-018
INT-0385,AE-016,2026-03-25T17:04:00Z,Boostr,contracts,upload,52067,CMP-006
INT-0386,AE-010,2026-02-26T08:07:00Z,Salesforce,reports,create,26703,CMP-024
INT-0387,AE-002,2026-03-25T11:19:00Z,Salesforce,accounts,approve,38974,CMP-013
INT-0388,AE-023,2026-03-24T11:52:00Z,OMS,charting,export,48433,CMP-026
INT-0389,AE-016,2026-02-28T13:14:00Z,Salesforce,leads,upload,34743,CMP-014
INT-0390,AE-019,2026-03-27T19:05:00Z,OMS,charting,upload,46035,CMP-013
INT-0391,AE-017,2026-02-27T12:08:00Z,Workforce,crew_schedule,upload,80695,CMP-009
INT-0392,AE-010,2026-02-26T13:27:00Z,Boostr,pipeline,approve,113740,CMP-035
INT-0393,AE-010,2026-02-28T09:09:00Z,IMS,offboarding,view,94573,CMP-037
INT-0394,AE-023,2026-02-27T13:04:00Z,Salesforce,reports,reject,73056,CMP-025
INT-0395,AE-007,2026-03-28T17:57:00Z,Workforce,work_orders,approve,42930,CMP-006
INT-0396,AE-006,2026-03-24T07:11:00Z,Boostr,commissions,update,29083,CMP-005
INT-0397,AE-016,2026-02-26T14:03:00Z,IMS,availability,search,53319,CMP-034
INT-0398,AE-001,2026-02-27T08:08:00Z,OMS,inventory,reject,148627,CMP-027
INT-0399,AE-019,2026-02-25T11:27:00Z,Boostr,pipeline,search,112203,CMP-031
INT-0400,AE-006,2026-02-28T15:45:00Z,Salesforce,reports,export,63156,CMP-018
